self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
87	True	True	-0.3867095708847046	0.4720596100424501	10	66	10	11	-0.37463855743408203	1.642343282699585	8.50726911141868	6.637571569051943	None	None	None	None	None	None
88	False	False	-0.9023528099060059	0.9181150060309164	10	66	11	11	-1.276991367340088	1.642343282699585	9.321509704963944	6.637571569051943	0	0.24452608026553724	-0.11609012430364435	0.14930393479087137	0.2887789909632806	0.24106512237204772
89	True	True	0.7747457027435303	0.6117611675007879	10	66	11	12	-1.276991367340088	2.4170889854431152	9.321509704963944	7.237802472971509	None	None	None	None	None	None
90	False	False	0.4544140100479126	0.4188734600176218	10	66	12	12	-0.8225773572921753	2.4170889854431152	9.528001797491768	7.237802472971509	0	0.22490918873274984	-0.06854811310768127	0.2014240821202596	0.2678706108927078	0.22614929606607026
91	False	True	-0.098915696144104	2.118345383357692	10	66	13	12	-0.9214930534362793	2.4170889854431152	9.537786112435441	7.237802472971509	None	None	None	None	None	None
92	True	False	0.7088176012039185	1.3692315834272364	10	66	13	13	-0.9214930534362793	3.1259065866470337	9.537786112435441	7.7402248647479865	0	0.17390348653703702	-0.07088408103355995	0.2404543528190026	0.24641619634586281	0.2116568797376461
93	True	True	-0.25095653533935547	2.3118872918261957	10	66	13	14	-0.9214930534362793	2.8749500513076782	9.537786112435441	7.80320404737752	None	None	None	None	None	None
94	False	False	-0.6425584554672241	1.166905691057039	10	66	14	14	-1.5640515089035034	2.8749500513076782	9.950667481127866	7.80320404737752	0	0.15464947330591483	-0.11171796492167882	0.2053535750934056	0.2317626536669097	0.19907509732340087
95	False	True	-1.4253616333007812	1.091524765612121	10	66	15	14	-2.9894131422042847	2.8749500513076782	11.982323266813736	7.80320404737752	None	None	None	None	None	None
96	True	False	1.2843263149261475	0.7182472078730484	10	66	15	15	-2.9894131422042847	4.159276366233826	11.982323266813736	9.452698130589297	0	0.06560977258674858	-0.19929420948028564	0.277285091082255	0.2328554685373593	0.19879868741233203
97	False	True	0.21855449676513672	0.7153174977632943	10	66	16	15	-2.770858645439148	4.159276366233826	12.030089334869999	9.452698130589297	None	None	None	None	None	None
98	True	False	1.1924902200698853	0.7924006302208824	10	66	16	16	-2.770858645439148	5.351766586303711	12.030089334869999	10.87473105555162	1	0.04700981161589553	-0.17317866533994675	0.33448541164398193	0.21937634836059694	0.19455765218726853
99	True	True	-0.8995603322982788	0.6606036000983551	10	100	0	1	0	-0.8995603322982788	0	0.8092087914445898	None	None	None	None	None	None
100	False	False	-0.9442086219787598	0.9664608681011941	10	100	1	0	-0.9442086219787598	0	0.8915299218190285	0	None	None	None	None	None	None
101	False	True	-0.6506549119949341	1.2800698294241926	10	100	1	0	-0.6506549119949341	0	0.4233518145031354	0	None	None	None	None	None	None
102	True	False	0.3748835325241089	1.3449521844118664	10	100	1	1	-0.6506549119949341	0.3748835325241089	0.4233518145031354	0.1405376629577546	None	None	None	None	None	None
103	False	True	0.16065382957458496	1.225194308506559	10	100	2	1	-0.4900010824203491	0.3748835325241089	0.4491614674601152	0.1405376629577546	None	None	None	None	None	None
104	True	False	0.390419602394104	0.8754468655559577	10	100	2	2	-0.4900010824203491	0.7653031349182129	0.4491614674601152	0.29296512889132487	0	0.18266419763419736	-0.24500054121017456	0.38265156745910645	0.4056543707847595	0.007768034934997559
105	False	True	-0.45603489875793457	1.1924510255261964	10	100	3	2	-0.9460359811782837	0.7653031349182129	0.6571292963452748	0.29296512889132487	None	None	None	None	None	None
106	True	False	-0.31773412227630615	1.0834306568148264	10	100	3	3	-0.9460359811782837	0.44756901264190674	0.6571292963452748	0.39392010135001954	0	0.13156827674165283	-0.3153453270594279	0.1491896708806356	0.24454081815061135	0.23350497056008696
107	False	True	1.0663875341415405	1.0310693136400602	10	100	4	3	0.12035155296325684	0.44756901264190674	1.79431166931775	0.39392010135001954	None	None	None	None	None	None
108	True	False	-1.3003326654434204	1.7012095987568188	10	100	4	4	0.12035155296325684	-0.8527636528015137	1.79431166931775	2.08478514216921	0	0.3396627364307984	0.03008788824081421	-0.21319091320037842	0.3862954984251675	0.39822352185302967
109	False	True	1.175565481185913	1.0884528116875458	10	100	5	4	1.29591703414917	-0.8527636528015137	3.1762658698736175	2.08478514216921	None	None	None	None	None	None
110	True	False	-0.03127861022949219	1.0365452037352725	10	100	5	5	1.29591703414917	-0.8840422630310059	3.1762658698736175	2.0857634936270983	0	0.20081314232749656	0.259183406829834	-0.17680845260620118	0.376854459837881	0.31060081689059527
111	True	True	-1.1610057353973389	0.7927815124446056	10	100	5	6	1.29591703414917	-2.0450479984283447	3.1762658698736175	3.433697811252614	None	None	None	None	None	None
112	False	False	1.4383983612060547	1.6773996373183309	10	100	6	6	2.7343153953552246	-2.0450479984283447	5.245255715393881	3.433697811252614	0	0.06352478731601542	0.4557192325592041	-0.3408413330713908	0.3651107412757478	0.3020298509128591
113	True	True	0.6895502805709839	0.9977907062434639	10	100	6	7	2.7343153953552246	-1.3554977178573608	5.245255715393881	3.9091774006881366	None	None	None	None	None	None
