self.step_no	last_rec.d_sum_lo	last_rec.d_sqr_sum_lo	last_rec.d_sum_hi	last_rec.d_sqr_sum_hi	last_rec.n	self.evaluation_start_index	n	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
72	-0.14813446998596191	0.005708528996080986	-0.1445310115814209	0.005718753801659204	10	0	73	18.89998745918274	19.093730330467224	17.060532927784692	17.07778369249273	0	0.48398250001696597	0.2474165591928694	0.25010743240515393	0.047375713950938154	0.04721204150984758
73	-0.04570317268371582	0.005687626698716031	-0.040322303771972656	0.005595701419679244	10	0	74	18.854284286499023	19.05340802669525	17.06262170777805	17.07940958067421	0	0.4835959860968233	0.24340122040003948	0.24612894286848094	0.046894447544676025	0.04673047595783996
74	-0.030380725860595703	0.0015141636563384964	-0.021601319313049316	0.0014325275155471218	10	0	75	18.823903560638428	19.031806707382202	17.063544696281866	17.079876197670274	0	0.4829246446357819	0.23970146436949033	0.24251096635251432	0.04640412224876556	0.046236427284549346
75	-0.09975624084472656	0.0026856312151721795	-0.09275460243225098	0.0025297269751831664	10	0	76	18.7241473197937	18.93905210494995	17.073496003869337	17.08847961394264	0	0.4824327823448742	0.23517536163330077	0.23804075876871744	0.046004409564143936	0.0458342859840455
76	-0.37281203269958496	0.030894051541793033	-0.3674609661102295	0.030616287521922914	10	0	77	18.351335287094116	18.57159113883972	17.212484815594934	17.2235071755573	0	0.4822666155298506	0.22717552749734177	0.23007363080978394	0.046094556714686735	0.0459235578842487
77	0.031015634536743164	0.006321954750717396	0.037998199462890625	0.006423717888537794	10	0	78	18.38235092163086	18.609589338302612	17.21344678518065	17.224951038719723	0	0.48173095064599214	0.2246279964199314	0.2275791446883957	0.04556326204753052	0.04539181760950046
78	0.10306620597839355	0.007270933546067226	0.10656237602233887	0.007364346931865384	10	0	79	18.485417127609253	18.71615171432495	17.22406942799543	17.23630657870325	0	0.48145922243854383	0.22306951192709115	0.22602764765421549	0.04500231855061671	0.04483294593374148
79	-0.2024996280670166	0.01604284731882899	-0.1971876621246338	0.015995621946160554	10	0	80	18.282917499542236	18.518964052200317	17.26507552736271	17.27518955279743	0	0.4811683120967297	0.21768256078792525	0.22067049183423007	0.04475440550172107	0.04458482095739269
80	0.0002148151397705078	0.005819451653735541	0.005527496337890625	0.005517425708035262	10	0	81	18.283132314682007	18.524491548538208	17.265075573508256	17.275220106013194	0	0.4807789123091587	0.2149642139673233	0.21798120439052582	0.044274962461353325	0.044106046867323744
81	0.03319370746612549	0.006465615182563056	0.041152358055114746	0.0067478059313117456	10	0	82	18.316326022148132	18.565643906593323	17.266177395723602	17.27691362258669	0	0.480169158724014	0.21272013364014802	0.21579813221354543	0.04378248979055799	0.04361279634185765
82	0.1900484561920166	0.005553119260923722	0.19877910614013672	0.006075060380339892	10	0	83	18.50637447834015	18.76442301273346	17.30229581142457	17.316426755624562	0	0.47947369216700975	0.21244364976882935	0.21559058311508922	0.04324614480688695	0.043078149724746044
83	-0.09478557109832764	0.002056187759606587	-0.09041023254394531	0.0019882848382621887	10	0	84	18.41158890724182	18.674012780189514	17.311280115913007	17.324600765773212	0	0.4792018667332595	0.20874209289091178	0.21190382629992013	0.04288198694047225	0.0427153701454337
84	-0.38451170921325684	0.018907382575150677	-0.3800783157348633	0.0187055934578666	10	0	85	18.027077198028564	18.29393446445465	17.459129370435107	17.469060291865063	0	0.4791370038119227	0.20167954762776694	0.2048564198471251	0.042953019151444456	0.04278815092349512
85	0.08918976783752441	0.01585195463343325	0.09633779525756836	0.016253108287514806	10	0	86	18.11626696586609	18.39027225971222	17.46708418512202	17.47834126266015	0	0.4785868716830305	0.20035613845376407	0.2035797301460715	0.04246530818100781	0.04230103474535888
86	0.13847613334655762	0.022441088114590002	0.1455855369567871	0.022731612295615378	10	0	87	18.254743099212646	18.535857796669006	17.486259824628632	17.499536411231148	0	0.4780329732157902	0.199636603510657	0.20290537906247516	0.041974788437244545	0.04181170719711091
87	-0.21866202354431152	0.036956914608992975	-0.21515631675720215	0.036707145226557714	10	0	88	18.036081075668335	18.320701479911804	17.534072905169126	17.545828651871673	0	0.4779056231866165	0.1948285733146229	0.19810007221397313	0.04176717568096397	0.041606740960617034
88	0.07300734519958496	0.0035191141595873887	0.08353447914123535	0.003669300767853656	10	0	89	18.10908842086792	18.40423595905304	17.539402977622217	17.55280666107707	0	0.47709957558455807	0.19344424117695203	0.1967981904745102	0.041313020726532264	0.0411518180978687
89	-0.17154300212860107	0.009458781129595195	-0.16804683208465576	0.009101817927628986	10	0	90	17.93754541873932	18.236189126968384	17.56882997920151	17.58104639885076	0	0.4769429310988965	0.18934326091509188	0.1926988081985645	0.04105154608148614	0.04089280516495831
90	0.1662604808807373	0.017080734407556974	0.16974663734436035	0.01704329404259397	10	0	91	18.103805899620056	18.405935764312744	17.596472526704204	17.609860319740477	0	0.4766727028543287	0.18908678558137682	0.19244378407796223	0.04059366542038381	0.040436692167716684
91	0.13495230674743652	0.009080866529586729	0.135811448097229	0.009022832323253738	10	0	92	18.238758206367493	18.541747212409973	17.61468465180066	17.628305069174743	0	0.4766073297430551	0.18849190119858628	0.1918214507155366	0.04014951022477844	0.03999470634347976
92	0.1285550594329834	0.010366516893043354	0.1320021152496338	0.010282265590205952	10	0	93	18.367313265800476	18.673749327659607	17.631211055106476	17.64572962760512	0	0.47634290107130856	0.18784041378809058	0.19117124054742896	0.03971604832704638	0.03956293601109773
93	-0.0662698745727539	0.006599627884043002	-0.0610353946685791	0.00666598649485195	10	0	94	18.301043391227722	18.612713932991028	17.635602751382365	17.64945494700747	0	0.47599520794101824	0.18510804509603848	0.18845934124403102	0.0393815758482938	0.03922906488156262
94	-0.07038068771362305	0.02711915367444817	-0.061464548110961914	0.026895958506941042	10	0	95	18.2306627035141	18.551249384880066	17.640556192585407	17.653232837681955	0	0.4753663037393928	0.18239007985338251	0.18580057646365875	0.039055061103741906	0.03890045748939548
95	0.006514072418212891	0.006079021314462807	0.011758089065551758	0.005965388538754723	10	0	96	18.237176775932312	18.563007473945618	17.640598625724877	17.65337109034043	0	0.47499057207193274	0.1805387534593281	0.18396855028052078	0.03868609148839819	0.03853237743592406
96	0.030321836471557617	0.013979868429657927	0.03384733200073242	0.01386413809439091	10	0	97	18.26749861240387	18.59685480594635	17.641518039491885	17.654516732223996	0	0.4747397113076173	0.17897399390737215	0.18240478759010634	0.038312957280128755	0.038160939396719495
97	0.09358441829681396	0.013014332771163595	0.09625017642974854	0.013109713590509386	10	0	98	18.361083030700684	18.6931049823761	17.650276082839838	17.663780828686754	0	0.47454074459422996	0.17809368900417052	0.18151659572247378	0.037926138871271	0.037775921654042824
98	0.07364225387573242	0.03756756397240224	0.07442331314086914	0.03774390973910613	10	0	99	18.434725284576416	18.767528295516968	17.655699264395736	17.669319658225618	0	0.4744898061860814	0.17702785803347218	0.1804238071247023	0.037552271121303854	0.03740443264304212
99	-0.1993553638458252	0.021967320601049778	-0.19581079483032227	0.021884861662556432	10	0	100	18.23536992073059	18.571717500686646	17.695441825489837	17.7076615255977	0	0.4743508980768733	0.17322600730741866	0.17662345761000509	0.03736494066014284	0.03721921226182612
100	-0.11948204040527344	0.016380105253801958	-0.11067366600036621	0.0163427313141824	10	0	101	18.115887880325317	18.46104383468628	17.709717783469245	17.71991018594366	0	0.4737592053890545	0.17029892683029174	0.17375048637390136	0.03710503759390164	0.0369569794475486
101	-0.07065534591674805	0.007025010670986376	-0.06534242630004883	0.00690929268318996	10	0	102	18.04523253440857	18.39570140838623	17.71470996137586	17.72417981861844	0	0.473409935367321	0.16791324096150917	0.17138322981277315	0.03681320776665422	0.03666573776688843
102	0.10416030883789062	0.010143874767322814	0.10764646530151367	0.010099177264692116	10	0	103	18.14939284324646	18.503347873687744	17.725559331313065	17.73576758011035	0	0.4731481467335249	0.16728821221519918	0.17075835957246668	0.036455865611363054	0.03630986737362165
103	-0.15095734596252441	0.010413582733633575	-0.14556670188903809	0.010464326761109533	10	0	104	17.998435497283936	18.357781171798706	17.748347451613114	17.7569572448092	0	0.47283714526955833	0.1641984495144446	0.16768724247089867	0.03623217300389744	0.03608653631669167
104	-0.001875162124633789	0.014641933295081344	-7.82012939453125e-05	0.01466448075802873	10	0	105	17.9965603351593	18.35770297050476	17.748350967846108	17.756957250924643	0	0.4727272496984042	0.16260158786406884	0.166074113203929	0.03591761049760136	0.035774253995284
105	0.21461963653564453	0.036411376144087626	0.2189946174621582	0.03641282196406337	10	0	106	18.211179971694946	18.57669758796692	17.7944125562328	17.80491589340204	0	0.4723985178975185	0.16309699785141718	0.16657811800638836	0.035577342827268835	0.035435493213787694
106	0.03713881969451904	0.0035719207917424	0.04423868656158447	0.003758031278877638	10	0	107	18.248318791389465	18.620936274528503	17.7957918481611	17.806872954790734	0	0.4718772371730064	0.1619087131518238	0.16542397242672038	0.03526013780773783	0.03511857436850488
107	0.06852567195892334	0.0049799721515029205	0.07647490501403809	0.005289757629213909	10	0	108	18.31684446334839	18.69741117954254	17.800487615878524	17.81272136588764	0	0.4712852777909813	0.1610359744490864	0.16459267273127476	0.03493995081115545	0.0347987459797491
